MEI link,Number of voices,Original voice names,Regularized voice names
http://92.154.49.37/CRIM/files/original/8c82de7d89635ff85cdf8f547b1eb44e.mei,4,Superius|Contratenor|Tenor|Bassus,Superius|Contratenor|Tenor|Bassus
http://92.154.49.37/CRIM/files/original/2665e1a34fe3a29877b492112ca72551.mei,1,~,~
http://92.154.49.37/CRIM/files/original/3451f0235054a756c1f4e8c5674f6e7d.mei,1,~,~
http://92.154.49.37/CRIM/files/original/4a24ccb45a7e9275f9bb4eb980dbb000.mei,1,~,~
http://92.154.49.37/CRIM/files/original/8299f01ad2aa1c2871c2cd614074dbf3.mei,1,~,~
http://92.154.49.37/CRIM/files/original/a1bb3de28bcbb5830319ed3a3f01ae6a.mei,1,~,~
http://92.154.49.37/CRIM/files/original/78a288aa8141dc2953ee850ee379d7dd.mei,4,~|Altus|Tenor|Bassus,Superius|Altus|Tenor|Bassus
http://92.154.49.37/CRIM/files/original/6b8fdf8ba21f385bf2e3cd4725a1cf9f.mei,4,Superius|Contratenor|Tenor|Bassus,Superius|Contratenor|Tenor|Bassus
http://92.154.49.37/CRIM/files/original/e43fdbfa635aac6d653dd21c0a51cc76.mei,5,Superius|Contratenor|Primus Tenor|Secundus Tenor|~,Superius|Contratenor|Tenor 1|Tenor 2|Bassus
http://92.154.49.37/CRIM/files/original/90375cb1ddfe9cf8ba7d7e866f9a0611.mei,4,Superius|Contratenor|Tenor|Bassus,Superius|Contratenor|Tenor|Bassus
http://92.154.49.37/CRIM/files/original/b81e93fba20eeee757c11be63d651a95.mei,4,Superius|Contratenor|Tenor|Bassus,Superius|Contratenor|Tenor|Bassus
http://92.154.49.37/CRIM/files/original/8f713a7ab2f3d9d5b0c2a439d96e05b7.mei,4,Superius|Contratenor|Tenor|Bassus,Superius|Contratenor|Tenor|Bassus
http://92.154.49.37/CRIM/files/original/e0bd90d0802a546e0c47fd66121ce36a.mei,4,Discantus|Altus|Tenor|Bassus,Discantus|Altus|Tenor|Bassus
http://92.154.49.37/CRIM/files/original/9684b93e8f954b7eb2fe5b3ba1bab6f5.mei,4,Superior|Contratenor|Tenor|Bassus,Superius|Contratenor|Tenor|Bassus
http://92.154.49.37/CRIM/files/original/1552fc4d83c3d312f170933bc41dc2c7.mei,4,Discantus|Contratenor|Tenor|Bassus,Discantus|Contratenor|Tenor|Bassus
http://92.154.49.37/CRIM/files/original/4d6d7ef6c83cc1cf2f11da3cd73b70f0.mei,6,~|~|~|~|~|~,Discantus|Contratenor|Tenor|Quintus|Sextus|Bassus
http://92.154.49.37/CRIM/files/original/360f2456072c989fc0e3dd042303d1dc.mei,4,Superius|Contratenor|Tenor|Bassus,Superius|Contratenor|Tenor|Bassus
http://92.154.49.37/CRIM/files/original/ea2cde97dfec4e00e047d2a04a2edf85.mei,4,Cantus|Altus|Tenor|Bassus,Cantus|Altus|Tenor|Bassus
http://92.154.49.37/CRIM/files/original/5406198189b92e47e9f60b58f10f56fb.mei,5,Superius|Contratenor|Tenor|Quinta Pars|Bassus,Superius|Contratenor|Tenor|Quintus|Bassus
http://92.154.49.37/CRIM/files/original/363de758819de36532c306bcf35c1db3.mei,4,Superius|Altus|Tenor|Bassus,Superius|Altus|Tenor|Bassus
http://92.154.49.37/CRIM/files/original/f9dce15ced481fa04a9b191fbb3c97f7.mei,1,~,~
http://92.154.49.37/CRIM/files/original/7b426e2d6d275534aa001abff1d9e687.mei,6,Cantus|Altus|Quinta pars|Tenor|Sexta pars|Bassus,Cantus|Altus|Quintus|Tenor|Sextus|Bassus
http://92.154.49.37/CRIM/files/original/410fb1a662c87ee71ac75f6f2fc960e8.mei,4,Superius|Contratenor|Tenor|Bassus,Superius|Contratenor|Tenor|Bassus
